"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2025/02";"95";"15/02/2025";"6";"SS 10 tra Castel San Giovanni e Sarmato";"11.561";"0";"11.376";"185";"8.574";"2.987";"0";"11.561"
"2025/02";"95";"16/02/2025";"7";"SS 10 tra Castel San Giovanni e Sarmato";"9.203";"0";"9.131";"72";"6.850";"2.353";"0";"9.203"
"2025/02";"95";"17/02/2025";"1";"SS 10 tra Castel San Giovanni e Sarmato";"12.807";"0";"11.943";"864";"10.186";"2.621";"12.807";"0"
"2025/02";"95";"18/02/2025";"2";"SS 10 tra Castel San Giovanni e Sarmato";"12.995";"2";"12.134";"859";"10.277";"2.718";"12.995";"0"
"2025/02";"95";"19/02/2025";"3";"SS 10 tra Castel San Giovanni e Sarmato";"13.185";"1";"12.287";"897";"10.483";"2.702";"13.185";"0"
"2025/02";"95";"20/02/2025";"4";"SS 10 tra Castel San Giovanni e Sarmato";"13.461";"2";"12.529";"930";"10.655";"2.806";"13.461";"0"
"2025/02";"95";"21/02/2025";"5";"SS 10 tra Castel San Giovanni e Sarmato";"13.850";"1";"13.022";"827";"10.741";"3.109";"13.850";"0"
"2025/02";"95";"22/02/2025";"6";"SS 10 tra Castel San Giovanni e Sarmato";"11.309";"0";"11.087";"222";"8.363";"2.946";"0";"11.309"
"2025/02";"95";"23/02/2025";"7";"SS 10 tra Castel San Giovanni e Sarmato";"8.620";"0";"8.547";"73";"6.388";"2.232";"0";"8.620"
"2025/02";"95";"24/02/2025";"1";"SS 10 tra Castel San Giovanni e Sarmato";"13.280";"0";"12.278";"1.002";"10.596";"2.684";"13.280";"0"
"2025/02";"95";"25/02/2025";"2";"SS 10 tra Castel San Giovanni e Sarmato";"13.231";"1";"12.393";"837";"10.433";"2.798";"13.231";"0"
"2025/02";"98";"12/02/2025";"3";"SP 302R tra Brisighella e San Martino in Gattara (confine regionale Toscana)";"2.712";"0";"2.604";"108";"2.215";"497";"2.712";"0"
